projectName, alpha, makespan, duration;
j6016_5,200,RND,67,1.76
j6019_6,100,RND,70,0.86
j6019_6,200,RND,69,1.71
j6038_3,100,RND,82,1.16
j6038_3,200,RND,79,2.33
j602_2,100,RND,83,0.88
j602_2,200,RND,83,1.79
j6014_7,100,RND,78,0.87
j6014_7,200,RND,77,1.74
j6035_2,100,RND,78,1.11
j6035_2,200,RND,78,2.22
j6036_5,100,RND,58,0.93
j6036_5,200,RND,58,1.84
j6039_6,100,RND,89,1.24
j6039_6,200,RND,91,2.48
j6018_3,100,RND,78,1.03
j6018_3,200,RND,78,2.04
j601_5,100,RND,76,0.9
j601_5,200,RND,73,1.79
j6043_7,100,RND,90,1.17
j6043_7,200,RND,90,2.35
j6029_8,100,RND,105,1.32
j6029_8,200,RND,104,2.65
j6045_9,100,RND,128,1.84
j6045_9,200,RND,128,3.72
j6020_5,100,RND,72,0.95
j6020_5,200,RND,72,1.88
j6010_10,100,RND,75,0.89
j6010_10,200,RND,74,1.76
j608_8,100,RND,67,0.85
j608_8,200,RND,67,1.71
j6012_9,100,RND,60,0.7
j6012_9,200,RND,60,1.39
j6023_2,100,RND,70,0.9
j6023_2,200,RND,70,1.79
j6034_10,100,RND,101,1.31
j6034_10,200,RND,100,2.64
j6022_3,100,RND,75,0.94
j6022_3,200,RND,75,1.89
j6013_8,100,RND,123,1.26
j6013_8,200,RND,129,2.51
j601_10,100,RND,78,0.92
j601_10,200,RND,78,1.86
j609_9,100,RND,114,1.32
j609_9,200,RND,111,2.66
j6021_4,100,RND,97,1.2
j6021_4,200,RND,99,2.38
j6044_8,100,RND,84,1.19
j6044_8,200,RND,84,2.36
j6028_9,100,RND,75,0.91
j6028_9,200,RND,75,1.85
j6042_6,100,RND,87,1.27
j6042_6,200,RND,87,2.48
j6019_2,100,RND,84,1.04
j6019_2,200,RND,84,2.07
j6038_7,100,RND,78,1.13
j6038_7,200,RND,77,2.31
j6037_4,100,RND,104,1.86
j6037_4,200,RND,98,3.61
j6016_1,100,RND,65,0.74
j6016_1,200,RND,65,1.49
j603_3,100,RND,107,1.03
j603_3,200,RND,106,2.03
j6034_3,100,RND,64,1.05
